Date,Close
27/4/13,134.21
28/4/13,144.54
29/4/13,139
30/4/13,116.99
1/5/13,105.21
2/5/13,97.75
3/5/13,112.5
4/5/13,115.91
5/5/13,112.3
6/5/13,111.5
7/5/13,113.57
8/5/13,112.67
9/5/13,117.2
10/5/13,115.24
11/5/13,115
12/5/13,117.98
13/5/13,111.5
14/5/13,114.22
15/5/13,118.76
16/5/13,123.02
17/5/13,123.5
18/5/13,121.99
19/5/13,122
20/5/13,122.88
21/5/13,123.89
22/5/13,126.7
23/5/13,133.2
24/5/13,131.98
25/5/13,133.48
26/5/13,129.75
27/5/13,129
28/5/13,132.3
29/5/13,128.8
30/5/13,129
31/5/13,129.3
1/6/13,122.29
2/6/13,122.22
3/6/13,121.42
4/6/13,121.65
5/6/13,118
6/6/13,111.5
7/6/13,108.3
8/6/13,100
9/6/13,106.35
10/6/13,108.9
11/6/13,108.15
12/6/13,104
13/6/13,99.98
14/6/13,99.99
15/6/13,99.51
16/6/13,101.7
17/6/13,107.4
18/6/13,108.25
19/6/13,110.15
20/6/13,109.5
21/6/13,108.3
22/6/13,107.6
23/6/13,102.74
24/6/13,103.95
25/6/13,104
26/6/13,101.44
27/6/13,94.65
28/6/13,94.99
29/6/13,96.61
30/6/13,88.05
1/7/13,90.13
2/7/13,77.53
3/7/13,80.53
4/7/13,68.43
5/7/13,70.28
6/7/13,74.56
7/7/13,76.52
8/7/13,76.69
9/7/13,86.76
10/7/13,88.98
11/7/13,93.59
12/7/13,98.13
13/7/13,94.69
14/7/13,98.4
15/7/13,97.45
16/7/13,98.5
17/7/13,90.58
18/7/13,92.17
19/7/13,89.39
20/7/13,90.76
21/7/13,91.61
22/7/13,95.56
23/7/13,94.51
24/7/13,96.9
25/7/13,96.02
26/7/13,94.12
27/7/13,99.76
28/7/13,101.2
29/7/13,107.99
30/7/13,106.09
31/7/13,104
1/8/13,104.5
2/8/13,104
3/8/13,105.14
4/8/13,106.22
5/8/13,106.75
6/8/13,106.75
7/8/13,103
8/8/13,102.8
9/8/13,103
10/8/13,105
11/8/13,106.64
12/8/13,109
13/8/13,112.56
14/8/13,109.99
15/8/13,108.99
16/8/13,113.5
17/8/13,113.5
18/8/13,119
19/8/13,121.2
20/8/13,123.3
21/8/13,121.15
22/8/13,118.5
23/8/13,120.05
24/8/13,122.11
25/8/13,120.06
26/8/13,126.5
27/8/13,122.62
28/8/13,122.39
29/8/13,133.49
30/8/13,135.35
31/8/13,138.34
1/9/13,135.85
2/9/13,136.77
3/9/13,126.74
4/9/13,126.43
5/9/13,119.15
6/9/13,124.15
7/9/13,121.66
8/9/13,127.11
9/9/13,125.91
10/9/13,135.25
11/9/13,133.13
12/9/13,134.98
13/9/13,129.22
14/9/13,130.37
15/9/13,131.72
16/9/13,131.66
17/9/13,131.47
18/9/13,129.65
19/9/13,127.04
20/9/13,127.43
21/9/13,129.12
22/9/13,125.95
23/9/13,127.25
24/9/13,128.22
25/9/13,128.38
26/9/13,133.78
