index,value
2019-02-24T23:05:54Z,3882.7
2019-02-25T23:05:00Z,3854.36
2019-02-26T23:03:34Z,3851.05
2019-02-27T23:02:39Z,3854.79
2019-02-28T23:01:45Z,3859.58
2019-03-01T23:00:50Z,3864.42
2019-03-02T22:59:56Z,3847.18
2019-03-03T22:59:01Z,3761.56
2019-03-04T22:58:07Z,3896.38
2019-03-05T22:56:41Z,3903.94
