26.1,21,18.5,8.4,8.8,6.3,6.5,9.1,13.7,17.2,22,23.3
23.3,24.9,18.1,11.9,8.6,5.2,6.1,8.7,11.9,20.3,22.6,22.8
22.7,21.5,15.2,11.3,7.7,6.1,7,8.5,9.9,15.7,20.7,21.3
25.2,19.5,15,13.4,7.8,5.9,6.5,8.4,11.8,17.5,22.6,20.2
23.7,17.4,16.8,10.3,7.1,5.6,8,13.3,11.2,17.2,19,26.7
22.4,20.9,17.2,10.7,7.1,5.2,5.7,11.5,14.4,17.1,20,22.6
23.4,20,14.9,9.6,6.5,6.1,5.9,8.6,12.1,18.7,21.4,23.4
25.8,21.9,15.8,10.8,5.9,5.7,6.5,9.8,14.1,16.1,22,25.3
23,23.6,17.1,10.4,7.8,6.5,6.5,10.2,12.7,16.6,22.9,24.5
24.3,20,16.2,11.6,8.1,6.8,6.9,9.2,13.8,18.3,22.2,22.4
21.9,23.3,17.7,12.1,6.8,5.8,7.4,9.6,12.8,16.1,21.2,27.4
23.8,22.1,15.9,11.2,8,6.3,6.4,9.4,13.9,16.3,20.1,23.1
22.9,19.9,16.7,11.5,8.1,6.4,7.6,10.4,14.6,17.2,21.7,22.7
27.5,21.2,16.8,12.1,8.4,5.7,7.4,9.8,13.3,15.6,24.5,24.2
24.5,21.5,17.7,11.3,7,5.5,6.8,9.6,11.6,18.7,20.5,24.1
24.9,19.8,18,13.2,8.3,6.3,6.3,9.9,12.9,19.1,22.7,23.6
25.8,22.4,19.1,9.9,7.3,6,6.3,10.8,14.9,23.4,22.5,26.8
24.3,22.8,17.9,13,7.5,6.1,7.1,10.8,14,19.2,23.2,24.9
26.5,20.5,17.5,12.3,7.3,5.5,6.9,9.1,15.3,18.9,20.1,23.9
29.9,22.7,14.7,11.8,7.4,5.9,6.8,9.3,12.4,19,23.4,25.8
26.3,21.4,15.9,10.3,8.1,6,6.6,8.7,12.3,19,20.8,23
22.7,18.2,15.1,12.1,6.4,6.9,6.1,9.8,13.1,17.2,19.6,26.7
24.5,20.4,14,12.1,7.4,5.6,6.7,9.6,13.7,17.8,21.2,25.3
26.7,23.7,17.2,11,7.5,6.1,7,9,12.3,15.4,19.6,22.5
25.3,20.9,14.7,9,7.3,5.6,6.8,9.7,14.2,17.8,22.1,23.8
22.1,19.6,16.1,10.8,7.4,6.7,6.7,8.9,14.7,20.3,20.6,27
21.7,21,14.4,12,8.1,6.4,7.2,10,12.6,17.2,19.1,23.4
